dre,school,average_age
CS,JOAO DE DEUS CARDOSO DE MELLO,14.0
CS,CONOSCO BARRAGEM,14.0
CL,MAURICIO SIMAO,14.0
FO,SEFRAS CRIANCA PERI,14.0
SM,COELHO NETO,14.0
PE,GUILHERME DE ALMEIDA,14.0
SM,CEC PERSEVERANCA MARIA DA SILVA,14.0
MP,CAPISTRANO DE ABREU,14.0
BT,SOLANO TRINDADE,14.0
BT,JULIO MESQUITA,14.0
BT,BRASIL-JAPAO,14.0
IQ,ROQUETTE PINTO,14.0
PE,HUMBERTO DE CAMPOS,14.0
MP,RAIMUNDO CORREIA,14.0
PJ,EDGARD CARONE,14.0
CL,M BOI MIRIM II,14.0
CL,PRACINHAS DA FEB,14.0
PJ,RAUL POMPEIA,14.0
CS,PLACIDO DE CASTRO,14.0
MP,PEDRO TEIXEIRA,14.0
CS,PADRE GIUSEPPE PEGORARO,14.0
CS,PROJETO SOL,14.0
PE,NUCLEO LAR SIRIO,14.0
FO,HUMBERTO DANTAS,14.0
IP,HERCILIA DE CAMPOS COSTA,14.0
CS,MARSILAC,14.0
MP,MILTON PEREIRA COSTA,14.0
FO,JARDIM DAMASCENO I - PROFESSOR JOAO ANTONIO FELICIO,14.0
PE,OCTAVIO MANGABEIRA,14.0
IP,JEAN MERMOZ,14.0
CS,CONOSCO BALNEARIO SAO JOSE,14.0
IQ,DANYLO JOSE FERNANDES,14.0
SM,HENRIQUE SOUZA FILHO - HENFIL,14.0
MP,SUD MENNUCCI,14.0
FO,OSVALDO QUIRINO SIMOES,14.0
SM,PAULO DUARTE,14.0
BT,TEOFILO BENEDITO OTTONI,14.0
CL,IRMA DULCE,14.0
MP,HENRIQUE FELIPE DA COSTA - HENRICAO,14.0
IP,JOSE MARIA LISBOA,14.0
SM,MARGARIDA MARIELLE,14.0
CL,SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA,14.0
CL,MARLI FERRAZ TORRES BONFIM,14.0
CS,JARDIM SABIA,14.0
JT,RODRIGUES ALVES,14.0
SM,BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA,14.0
CL,HERBERT DE SOUZA - BETINHO,14.0
SM,COLMEIA,14.0
BT,PEDRO NAVA,14.0
MP,ANTONIO CARLOS DE ANDRADA E SILVA,14.0
SM,SAO JOAO,14.0
IQ,GUIMARAES ROSA,14.0
IP,ALVARES DE AZEVEDO,14.0
IP,PERSEVERANCA III,13.0
CL,PAROQUIA SANTO ANTONIO,13.0
SM,CEC SANTA ROSA DE LIMA,13.0
CL,22 DE MARCO,13.0
CS,AMCOSE,13.0
FO,TODOS IRMAOS,13.0
SA,CEJOLE,13.0
PJ,PARQUE DE TAIPAS,13.0
SA,CARLOS DE ANDRADE RIZZINI,13.0
FO,TELIA GIROTTI,13.0
CL,JOSE SARAMAGO,13.0
CL,MARIA RITA LOPES PONTES - IRMA DULCE,13.0
CL,CASA DO ZEZINHO,13.0
CL,JARDIM PIRACUAMA,13.0
JT,ZACKI NARCHI,13.0
FO,NOSSA SENHORA DO O,13.0
PE,LAR DONA TINA II,13.0
CL,BOA SORTE,13.0
SM,PARQUE BOA ESPERANCA II,13.0
SM,SANTO ADRIANO,13.0
CL,ESPACO COM VIVER - JARDIM DOM JOSE,13.0
PJ,CRIANCA CRESCENDO CIDADA,13.0
CS,SETE DE SETEMBRO,13.0
CS,FREI REGINALDO,13.0
PE,CECILIA MEIRELES,13.0
SM,JARDIM SINHA,13.0
